"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice"
88,2025-04-26 15:34:23,2025-04-26 15:35:32,"computer science","iya","binus@semarang","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada","tidak ada","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada"
89,2025-04-26 15:45:02,2025-04-26 15:50:35,"computer science","iya","binus@semarang","1-2 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","tempat tunggu bagi yang memesan/makan diperluas","setuju","setuju","tidak setuju","setuju","tidak setuju","setuju","setuju","kasih tisu di wastafel","kasih tisu di wastafel","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak setuju","setuju","murah in dikit harganya💡"
90,2025-04-26 15:50:40,2025-04-26 16:00:42,"computer science","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","banyakin diskon/promo","setuju","setuju","setuju","setuju","setuju","setuju","setuju","cukup","perbanyak kursi dan meja","tidak merasakan","setuju","setuju","setuju","tidak merasakan","setuju","tidak ada"
91,2025-04-26 16:58:39,2025-04-26 17:02:23,"computer science","iya","binus@malang","3-4 kali","tidak merasakan","setuju","tidak setuju","setuju","tidak setuju","setuju","tidak setuju","kurangnya informasi harga di papan menu di kantin baru","setuju","setuju","sangat setuju","tidak setuju","setuju","sangat setuju","sangat setuju","tidak ada, cuma kadang mahasiswa/i gapunya kesadaran sendiri untuk beresin makanannya jadinya pegawai harus kerja double","ga ada","setuju","tidak setuju","setuju","setuju","setuju","setuju","ga ada"
92,2025-04-26 17:35:53,2025-04-26 17:38:44,"computer science","iya","binus@semarang",">4 kali","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","tidak ada","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","tidak ada"
93,2025-04-26 17:34:38,2025-04-26 17:47:26,"computer science","iya","binus@semarang","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
94,2025-04-26 16:40:41,2025-04-26 17:53:59,"computer science","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
95,2025-04-26 17:51:11,2025-04-26 17:54:34,"computer science - software engineering","iya","binus@semarang","3-4 kali","setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju","setuju","kursi nya ditambahin 🢳","sangat setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","setuju","setuju","menambahkan wastafel karena tidak ada di kantin luar :)","kursi :)","setuju","setuju","setuju","setuju","setuju","setuju","untuk sementara belum ada"
96,2025-04-26 17:57:15,2025-04-26 18:02:20,"computer science","iya","binus@semarang","3-4 kali","setuju","setuju","setuju","tidak merasakan","setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","setuju","tidak ada","tidak ada","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","tidak ada"
97,2025-04-26 18:10:56,2025-04-26 18:13:40,"computer science","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
