"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice","date","duration","mean_satisfaction_score","mean_services_score","mean_cleanliness_score","mean_product_score"
69,"14:14:34","14:17:35","cyber security","iya","binus@bandung","3-4 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,3.02,4,4,4,4
70,"14:19:07","14:23:00","computer science","iya","binus@bandung",">4 kali",5,5,5,5,5,5,5,"tambahkan perfomance dj",5,5,5,5,5,5,5,"membeli robot ai pengambil dan pemungut sampah","mengeluarkan modal yang sesuai dengan biaya kuliah",5,5,5,5,1,5,"menambah menu nasi babi",2025-04-26,3.88,4.8,5,5,4.33
71,"14:22:01","14:24:17","computer science","iya","binus@bandung","1-2 kali",4,4,4,4,5,5,5,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,2.27,4.15,4.43,4,4
72,"14:27:16","14:29:30","computer science","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,2.23,4,4,4,4
73,"14:35:56","14:36:27","computer science","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,0.52,4,4,4,4
74,"14:31:44","14:37:21","computer science","iya","binus@bandung","3-4 kali",4,4,5,4,5,4,4,"tidak ada",4,5,5,4,5,5,5,"bukan hanya mengambil piring kotor, tetapi juga mengelap meja yang telah dipakai oleh orang lain, agar orang yang ingin duduk merasa nyaman.","tidak ada",4,5,5,4,3,4,"tidak ada",2025-04-26,5.62,4.4,4.29,4.71,4.17
75,"14:46:53","14:48:49","computer science","iya","binus@semarang","1-2 kali",4,4,4,4,4,4,4,"belum ada semua sudah bagus",4,4,4,4,4,4,4,"di bagian payung"" nya yang keliatan sedikit kotor","belum ada",4,4,5,4,4,4,"belum ada",2025-04-26,1.93,4.05,4,4,4.17
76,"14:44:30","14:51:10","computer science","iya","binus@semarang","1-2 kali",3,4,4,4,4,4,4,"tidak ada",4,3,3,3,4,4,4,"untuk setiap kantin baiknya menyediakan wastafel atau jika sulit menambah wastafel setidaknya di sediakan tisu basah/kering,sediakan juga tempat sampah","tidak ada",3,4,3,3,4,3,"tidak ada",2025-04-26,6.67,3.6,3.86,3.57,3.33
77,"14:51:25","14:53:22","computer science - software engineering","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"-",4,4,4,4,4,4,4,"-","-",4,4,4,4,4,4,"-",2025-04-26,1.95,4,4,4,4
78,"14:51:25","14:53:22","computer science - software engineering","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"-",4,4,4,4,4,4,4,"-","-",4,4,4,4,4,4,"-",2025-04-26,1.95,4,4,4,4
79,"14:51:16","14:54:45","game application and technology","iya","binus@malang",">4 kali",3,5,5,4,5,5,5,"tidak ada",5,5,5,5,4,5,5,"tidak ada","tidak ada",5,4,5,5,4,4,"tidak ada",2025-04-26,3.48,4.65,4.57,4.86,4.5
80,"14:53:09","14:55:49","computer science","iya","binus@malang","1-2 kali",4,4,4,4,4,4,4,"lebih tertata dan lebih jelas dalam tata kelola kantin",4,4,4,4,4,4,4,"-","-",4,4,4,4,4,4,"-",2025-04-26,2.67,4,4,4,4
81,"15:02:48","15:06:34","computer science - software engineering","iya","binus@semarang","0 kali",3,3,3,3,3,3,3,"sopan dalam melayani",3,3,3,3,3,3,3,"di sapu dan di pel","belanja barang barang interior",3,3,3,3,3,3,"mantap",2025-04-26,3.77,3,3,3,3
82,"15:02:30","15:09:13","computer science","iya","binus@semarang","0 kali",4,4,4,4,5,5,3,"tidak ada",4,4,2,4,3,5,5,"tidak ada","mungkin bisa memberikan kotak tisu dan isinya di setiap meja",5,5,4,4,2,2,"tidak ada",2025-04-26,6.72,3.9,4.14,3.86,3.67
83,"15:06:38","15:09:48","computer science","iya","binus@malang","1-2 kali",4,4,4,4,4,4,4,"lebih ekspresif",4,4,4,4,4,4,4,"harap mahasiswa lebih baik dalam membersihkan sisa makanannya","sudah mantap",4,4,4,4,4,4,"sudah mantal poll",2025-04-26,3.17,4,4,4,4
84,"15:10:25","15:12:14","information systems","iya","binus@semarang","1-2 kali",4,4,4,4,5,4,5,"tidak ada",5,4,4,4,5,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,1.82,4.2,4.29,4.29,4
85,"15:09:52","15:17:29","computer science","iya","binus@malang","1-2 kali",3,3,5,4,4,4,4,"dimurahkan harganya",4,4,4,4,2,4,2,"yang bekerja harus membersihkan lebih sering","diperbarui fasilitasnya",4,4,4,4,1,2,"dimurahkan harganya",2025-04-26,7.62,3.5,3.86,3.43,3.17
86,"15:32:58","15:33:59","computer science","iya","binus@semarang","0 kali",3,3,3,3,3,3,3,"-",3,3,3,3,3,3,3,"-","-",3,3,3,3,3,3,"-",2025-04-26,1.02,3,3,3,3
87,"15:31:55","15:34:51","computer science","iya","binus@semarang","0 kali",3,4,4,4,5,5,5,"tidak ada",3,3,2,3,2,4,4,"tidak ada","tidak ada",4,3,4,3,3,3,"tidak ada",2025-04-26,2.93,3.55,4.29,3,3.33
88,"15:34:23","15:35:32","computer science","iya","binus@semarang","0 kali",3,3,3,3,3,3,3,"tidak ada",3,3,3,3,3,3,3,"tidak ada","tidak ada",3,3,3,3,3,3,"tidak ada",2025-04-26,1.15,3,3,3,3
89,"15:45:02","15:50:35","computer science","iya","binus@semarang","1-2 kali",3,4,4,4,4,4,4,"tempat tunggu bagi yang memesan/makan diperluas",4,4,2,4,2,4,4,"kasih tisu di wastafel","kasih tisu di wastafel",3,4,3,3,2,4,"murah in dikit harganya💡",2025-04-26,5.55,3.5,3.86,3.43,3.17
90,"15:50:40","16:00:42","computer science","iya","binus@semarang","1-2 kali",4,4,4,4,4,4,4,"banyakin diskon/promo",4,4,4,4,4,4,4,"cukup","perbanyak kursi dan meja",3,4,4,4,3,4,"tidak ada",2025-04-26,10.03,3.9,4,4,3.67
91,"16:58:39","17:02:23","computer science","iya","binus@malang","3-4 kali",3,4,2,4,2,4,2,"kurangnya informasi harga di papan menu di kantin baru",4,4,5,2,4,5,5,"tidak ada, cuma kadang mahasiswa/i gapunya kesadaran sendiri untuk beresin makanannya jadinya pegawai harus kerja double","ga ada",4,2,4,4,4,4,"ga ada",2025-04-26,3.73,3.6,3,4.14,3.67
92,"17:35:53","17:38:44","computer science","iya","binus@semarang",">4 kali",5,5,5,4,5,5,5,"tidak ada",5,5,5,5,5,5,5,"tidak ada","tidak ada",5,5,5,5,4,5,"tidak ada",2025-04-26,2.85,4.9,4.86,5,4.83
93,"17:34:38","17:47:26","computer science","iya","binus@semarang","3-4 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,12.8,4,4,4,4
94,"16:40:41","17:53:59","computer science","iya","binus@semarang","1-2 kali",4,4,4,4,4,4,4,"tidak ada",4,4,2,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,73.3,3.9,4,3.71,4
95,"17:51:11","17:54:34","computer science - software engineering","iya","binus@semarang","3-4 kali",4,5,4,4,5,5,4,"kursi nya ditambahin 🢳",5,3,4,3,3,4,4,"menambahkan wastafel karena tidak ada di kantin luar :)","kursi :)",4,4,4,4,4,4,"untuk sementara belum ada",2025-04-26,3.38,4.05,4.43,3.71,4
96,"17:57:15","18:02:20","computer science","iya","binus@semarang","3-4 kali",4,4,4,3,4,5,5,"tidak ada",4,4,2,3,2,3,4,"tidak ada","tidak ada",3,3,3,4,4,4,"tidak ada",2025-04-26,5.08,3.6,4.14,3.14,3.5
97,"18:10:56","18:13:40","computer science","iya","binus@semarang","1-2 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,3,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,2.73,3.95,4,3.86,4
98,"18:12:09","18:15:05","computer science","iya","binus@semarang","1-2 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,2.93,4,4,4,4
99,"18:20:11","18:23:50","interior design","iya","binus@bandung",">4 kali",4,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,4,4,"tidak ada",2025-04-26,3.65,4,4,4,4
100,"18:23:22","18:26:10","computer engineering","iya","binus@bandung","1-2 kali",3,4,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,2,2,4,"murahin",2025-04-26,2.8,3.75,3.86,4,3.33
101,"18:38:31","18:41:03","cyber security","iya","binus@bandung","3-4 kali",3,4,4,4,5,5,5,"tidak ada",4,4,2,5,4,5,5,"tidak ada","tidak ada",5,5,5,4,4,4,"tambahkan porsinya",2025-04-26,2.53,4.3,4.29,4.14,4.5
102,"19:04:27","19:07:37","computer science","iya","binus@semarang","3-4 kali",5,4,5,5,5,5,5,"tidak ada",4,4,4,4,3,4,4,"tidak ada","tidak ada",4,4,5,5,4,4,"tidak ada",2025-04-26,3.17,4.35,4.86,3.86,4.33
103,"19:26:49","19:28:00","computer science","iya","binus@bandung","1-2 kali",3,3,3,3,3,3,3,"-",3,3,3,3,3,3,3,"-","-",3,3,3,3,3,3,"-",2025-04-26,1.18,3,3,3,3
104,"19:35:33","19:37:29","computer science","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"aman semuanya",4,4,4,4,4,4,4,"tidak ada semuanya sudah bagus","semuanya aman kok",4,4,4,4,4,4,"tidak ada",2025-04-26,1.93,4,4,4,4
105,"19:38:25","19:41:38","computer science","iya","binus@bandung",">4 kali",3,4,4,4,4,4,4,"kalo bisa harga ditampilkan dengan lebih besar",4,4,4,4,4,4,4,"sering sering saja di bersihkan","sebisa mungkin pisahkan dapur masak dan tempat makan",4,4,4,4,4,4,"tidak ada",2025-04-26,3.22,3.95,3.86,4,4
106,"19:56:00","19:59:53","public relations","iya","binus@malang",">4 kali",5,5,5,5,5,5,3,"untuk harga menu harusnya ditampilin semua jadi ntar kesannya biar gk trap gitu",5,4,3,5,5,5,5,"sejauh ini fine fine aja klo untuk kebersihan","munngkin untuk tata ruang antri bisa di optimalkan",5,5,5,5,3,3,"kualitas sih oke yaaa",2025-04-26,3.88,4.55,4.71,4.57,4.33
107,"19:59:10","20:01:28","computer science","iya","binus@bandung","3-4 kali",4,4,4,4,4,4,3,"ada kios yang tidak memasang informasi harga, sebaiknya dipasang supaya memudahkan",4,4,4,4,4,4,4,"tidak ada","tidak ada",4,4,4,4,3,4,"lebih banyak makanan yang harganya lebih terjangkau lagi",2025-04-26,2.3,3.9,3.86,4,3.83
108,"21:32:06","21:35:40","computer science","iya","binus@semarang","3-4 kali",5,5,5,4,5,5,5,"tidak ada",5,4,4,5,3,4,4,"tidak ada","tidak ada",2,2,5,5,5,5,"tidak ada",2025-04-26,3.57,4.35,4.86,4.14,4
109,"23:55:45","23:59:47","information systems","iya","binus@semarang",">4 kali",3,3,4,4,4,4,5,"tidak ada",4,4,3,4,2,4,4,"mungkin bisa dengan ada petugas yang stand by untuk langsung membersihkan meja, karena kalo ga mahasiswa sendiri yang harus membersihkan dan biasanya meja itu kotor dengan bekas tumpahan makanan bukan hanya box makanannya saja","bisa dengan menambahkan tisu dan juga wastafel dekat area kantin payung",4,4,4,4,4,4,"tidak ada",2025-04-26,4.03,3.8,3.86,3.57,4
110,"17:27:02","17:29:33","computer science","iya","binus@malang","1-2 kali",4,4,4,2,4,4,4,"sudah cukup baik",5,5,4,4,4,4,4,"cukup baik","cukup baik",4,4,4,4,4,4,"cukup baik",2025-04-27,2.52,4,3.71,4.29,4
111,"15:57:42","15:59:56","computer science","iya","binus@semarang","0 kali",3,3,3,3,3,3,3,"tidak ada",4,3,3,3,3,3,3,"tidak ada","tidak ada",3,3,3,3,3,3,"tidak ada",2025-04-28,2.23,3.05,3,3.14,3
112,"18:47:12","18:50:17","computer science","iya","binus@bandung","3-4 kali",4,4,5,4,5,4,4,"tidak ada",4,4,4,4,4,4,4,"tdk ada","tdk ada",4,4,4,4,4,4,"tdk ada",2025-04-28,3.08,4.1,4.29,4,4
113,"13:44:49","13:46:52","computer science","iya","binus@semarang","0 kali",4,5,4,4,5,5,5,"-",3,4,4,4,4,4,4,"-","-",4,4,4,4,2,4,"-",2025-04-29,2.05,4.05,4.57,3.86,3.67
114,"14:25:56","14:30:59","computer science","iya","binus@bandung","1-2 kali",5,5,5,5,4,5,5,"tidak ada",4,5,4,4,4,4,5,"tidak ada","tidak ada",5,5,5,5,4,4,"tidak ada",2025-04-29,5.05,4.6,4.86,4.29,4.67
115,"23:52:15","23:56:17","computer science","iya","binus@bandung","1-2 kali",3,3,4,4,4,4,4,"tidak ada",4,4,4,4,4,4,4,"tidak ada","tidak ada",5,5,5,5,5,5,"tidak ada",2025-04-29,4.03,4.2,3.71,4,5
116,"12:25:19","12:28:04","computer science","iya","binus@bandung",">4 kali",4,4,4,5,4,4,4,"-",4,5,5,4,4,4,4,"-","-",4,4,4,4,4,4,"-",2025-05-05,2.75,4.15,4.14,4.29,4
